"","age_class","Total","var","date"
"108","45-64","185","death_cumul_conf","2020-03-30"
"109","65-74","183","death_cumul_conf","2020-03-30"
"110","75+","368","death_cumul_conf","2020-03-30"
"111","0-17","1","death_cumul_conf","2020-03-31"
"112","18-44","54","death_cumul_conf","2020-03-31"
"113","45-64","216","death_cumul_conf","2020-03-31"
"114","65-74","215","death_cumul_conf","2020-03-31"
"115","75+","428","death_cumul_conf","2020-03-31"
"116","0-17","1","death_cumul_conf","2020-04-01"
"117","18-44","67","death_cumul_conf","2020-04-01"
"118","45-64","259","death_cumul_conf","2020-04-01"
"119","65-74","255","death_cumul_conf","2020-04-01"
"120","75+","514","death_cumul_conf","2020-04-01"
"121","0-17","1","death_cumul_conf","2020-04-02"
"122","18-44","78","death_cumul_conf","2020-04-02"
"123","45-64","333","death_cumul_conf","2020-04-02"
"124","65-74","334","death_cumul_conf","2020-04-02"
"125","75+","628","death_cumul_conf","2020-04-02"
"126","0-17","1","death_cumul_conf","2020-04-03"
"127","18-44","90","death_cumul_conf","2020-04-03"
"128","45-64","382","death_cumul_conf","2020-04-03"
"129","65-74","376","death_cumul_conf","2020-04-03"
"130","75+","713","death_cumul_conf","2020-04-03"
"131","0-17","1","death_cumul_conf","2020-04-04"
"132","18-44","110","death_cumul_conf","2020-04-04"
"133","45-64","442","death_cumul_conf","2020-04-04"
"134","65-74","461","death_cumul_conf","2020-04-04"
"135","75+","853","death_cumul_conf","2020-04-04"
"136","0-17","2","death_cumul_conf","2020-04-05"
"137","18-44","132","death_cumul_conf","2020-04-05"
"138","45-64","535","death_cumul_conf","2020-04-05"
"139","65-74","557","death_cumul_conf","2020-04-05"
"140","75+","1028","death_cumul_conf","2020-04-05"
"141","0-17","2","death_cumul_conf","2020-04-06"
"142","18-44","140","death_cumul_conf","2020-04-06"
"143","45-64","587","death_cumul_conf","2020-04-06"
"144","65-74","612","death_cumul_conf","2020-04-06"
"145","75+","1131","death_cumul_conf","2020-04-06"
"146","0-17","2","death_cumul_conf","2020-04-07"
"147","18-44","148","death_cumul_conf","2020-04-07"
"148","45-64","652","death_cumul_conf","2020-04-07"
"149","65-74","686","death_cumul_conf","2020-04-07"
"150","75+","1250","death_cumul_conf","2020-04-07"
"151","0-17","2","death_cumul_conf","2020-04-08"
"152","18-44","201","death_cumul_conf","2020-04-08"
"153","45-64","853","death_cumul_conf","2020-04-08"
"154","65-74","879","death_cumul_conf","2020-04-08"
"155","75+","1609","death_cumul_conf","2020-04-08"
"156","0-17","3","death_cumul_conf","2020-04-09"
"157","18-44","219","death_cumul_conf","2020-04-09"
"158","45-64","1020","death_cumul_conf","2020-04-09"
"159","65-74","1064","death_cumul_conf","2020-04-09"
"160","75+","1952","death_cumul_conf","2020-04-09"
"161","0-17","3","death_cumul_conf","2020-04-10"
"162","18-44","241","death_cumul_conf","2020-04-10"
"163","45-64","1143","death_cumul_conf","2020-04-10"
"164","65-74","1187","death_cumul_conf","2020-04-10"
"165","75+","2204","death_cumul_conf","2020-04-10"
"166","0-17","3","death_cumul_conf","2020-04-11"
"167","18-44","265","death_cumul_conf","2020-04-11"
"168","45-64","1283","death_cumul_conf","2020-04-11"
"169","65-74","1335","death_cumul_conf","2020-04-11"
"170","75+","2543","death_cumul_conf","2020-04-11"
"171","0-17","3","death_cumul_conf","2020-04-12"
"172","18-44","270","death_cumul_conf","2020-04-12"
"173","45-64","1357","death_cumul_conf","2020-04-12"
"174","65-74","1415","death_cumul_conf","2020-04-12"
"175","75+","2697","death_cumul_conf","2020-04-12"
"176","0-17","3","death_cumul_conf","2020-04-13"
"177","18-44","284","death_cumul_conf","2020-04-13"
"178","45-64","1449","death_cumul_conf","2020-04-13"
"179","65-74","1511","death_cumul_conf","2020-04-13"
"180","75+","2935","death_cumul_conf","2020-04-13"
"181","0-17","3","death_cumul_conf","2020-04-14"
"182","18-44","301","death_cumul_conf","2020-04-14"
"183","45-64","1529","death_cumul_conf","2020-04-14"
"184","65-74","1611","death_cumul_conf","2020-04-14"
"185","75+","3145","death_cumul_conf","2020-04-14"
"186","0-17","3","death_cumul_conf","2020-04-15"
"187","18-44","309","death_cumul_conf","2020-04-15"
"188","45-64","1581","death_cumul_conf","2020-04-15"
"189","65-74","1683","death_cumul_conf","2020-04-15"
"190","75+","3263","death_cumul_conf","2020-04-15"
"191","0-17","3","death_cumul_conf","2020-04-16"
"192","18-44","344","death_cumul_conf","2020-04-16"
"193","45-64","1722","death_cumul_conf","2020-04-16"
"194","65-74","1870","death_cumul_conf","2020-04-16"
"195","75+","3623","death_cumul_conf","2020-04-16"
"196","0-17","3","death_cumul_conf","2020-04-17"
"197","18-44","353","death_cumul_conf","2020-04-17"
"198","45-64","1788","death_cumul_conf","2020-04-17"
"199","65-74","1962","death_cumul_conf","2020-04-17"
"200","75+","3783","death_cumul_conf","2020-04-17"
"201","0-17","3","death_cumul_conf","2020-04-18"
"202","18-44","373","death_cumul_conf","2020-04-18"
"203","45-64","1915","death_cumul_conf","2020-04-18"
"204","65-74","2086","death_cumul_conf","2020-04-18"
"205","75+","4070","death_cumul_conf","2020-04-18"
"206","0-17","3","death_cumul_conf","2020-04-19"
"207","18-44","380","death_cumul_conf","2020-04-19"
"208","45-64","1988","death_cumul_conf","2020-04-19"
"209","65-74","2179","death_cumul_conf","2020-04-19"
"210","75+","4260","death_cumul_conf","2020-04-19"
"211","0-17","3","death_cumul_conf","2020-04-20"
"212","18-44","395","death_cumul_conf","2020-04-20"
"213","45-64","2048","death_cumul_conf","2020-04-20"
"214","65-74","2253","death_cumul_conf","2020-04-20"
"215","75+","4401","death_cumul_conf","2020-04-20"
"216","0-17","3","death_cumul_conf","2020-04-21"
"217","18-44","414","death_cumul_conf","2020-04-21"
"218","45-64","2153","death_cumul_conf","2020-04-21"
"219","65-74","2378","death_cumul_conf","2020-04-21"
"220","75+","4611","death_cumul_conf","2020-04-21"
"221","0-17","3","death_cumul_conf","2020-04-22"
"222","18-44","426","death_cumul_conf","2020-04-22"
"223","45-64","2243","death_cumul_conf","2020-04-22"
"224","65-74","2469","death_cumul_conf","2020-04-22"
"225","75+","4801","death_cumul_conf","2020-04-22"
"226","0-17","4","death_cumul_conf","2020-04-23"
"227","18-44","434","death_cumul_conf","2020-04-23"
"228","45-64","2331","death_cumul_conf","2020-04-23"
"229","65-74","2546","death_cumul_conf","2020-04-23"
"230","75+","4973","death_cumul_conf","2020-04-23"
"231","0-17","5","death_cumul_conf","2020-04-24"
"232","18-44","453","death_cumul_conf","2020-04-24"
"233","45-64","2418","death_cumul_conf","2020-04-24"
"234","65-74","2672","death_cumul_conf","2020-04-24"
"235","75+","5196","death_cumul_conf","2020-04-24"
"236","0-17","5","death_cumul_conf","2020-04-25"
"237","18-44","458","death_cumul_conf","2020-04-25"
"238","45-64","2458","death_cumul_conf","2020-04-25"
"239","65-74","2727","death_cumul_conf","2020-04-25"
"240","75+","5310","death_cumul_conf","2020-04-25"
"241","0-17","5","death_cumul_conf","2020-04-26"
"242","18-44","472","death_cumul_conf","2020-04-26"
"243","45-64","2563","death_cumul_conf","2020-04-26"
"244","65-74","2843","death_cumul_conf","2020-04-26"
"245","75+","5575","death_cumul_conf","2020-04-26"
"246","0-17","5","death_cumul_conf","2020-04-27"
"247","18-44","479","death_cumul_conf","2020-04-27"
"248","45-64","2620","death_cumul_conf","2020-04-27"
"249","65-74","2884","death_cumul_conf","2020-04-27"
"250","75+","5718","death_cumul_conf","2020-04-27"
"251","0-17","5","death_cumul_conf","2020-04-28"
"252","18-44","482","death_cumul_conf","2020-04-28"
"253","45-64","2649","death_cumul_conf","2020-04-28"
"254","65-74","2910","death_cumul_conf","2020-04-28"
"255","75+","5772","death_cumul_conf","2020-04-28"
"256","0-17","6","death_cumul_conf","2020-04-29"
"257","18-44","497","death_cumul_conf","2020-04-29"
"258","45-64","2742","death_cumul_conf","2020-04-29"
"259","65-74","3027","death_cumul_conf","2020-04-29"
"260","75+","6013","death_cumul_conf","2020-04-29"
"261","0-17","6","death_cumul_conf","2020-04-30"
"262","18-44","507","death_cumul_conf","2020-04-30"
"263","45-64","2803","death_cumul_conf","2020-04-30"
"264","65-74","3101","death_cumul_conf","2020-04-30"
"265","75+","6152","death_cumul_conf","2020-04-30"
"266","0-17","6","death_cumul_conf","2020-05-01"
"267","18-44","531","death_cumul_conf","2020-05-01"
"268","45-64","2908","death_cumul_conf","2020-05-01"
"269","65-74","3217","death_cumul_conf","2020-05-01"
"270","75+","6336","death_cumul_conf","2020-05-01"
"271","0-17","6","death_cumul_conf","2020-05-02"
"272","18-44","534","death_cumul_conf","2020-05-02"
"273","45-64","2937","death_cumul_conf","2020-05-02"
"274","65-74","3260","death_cumul_conf","2020-05-02"
"275","75+","6417","death_cumul_conf","2020-05-02"
"276","0-17","6","death_cumul_conf","2020-05-03"
"277","18-44","538","death_cumul_conf","2020-05-03"
"278","45-64","2973","death_cumul_conf","2020-05-03"
"279","65-74","3296","death_cumul_conf","2020-05-03"
"280","75+","6505","death_cumul_conf","2020-05-03"
"281","0-17","6","death_cumul_conf","2020-05-04"
"282","18-44","545","death_cumul_conf","2020-05-04"
"283","45-64","3028","death_cumul_conf","2020-05-04"
"284","65-74","3363","death_cumul_conf","2020-05-04"
"285","75+","6593","death_cumul_conf","2020-05-04"
"286","0-17","6","death_cumul_conf","2020-05-05"
"287","18-44","549","death_cumul_conf","2020-05-05"
"288","45-64","3078","death_cumul_conf","2020-05-05"
"289","65-74","3403","death_cumul_conf","2020-05-05"
"290","75+","6687","death_cumul_conf","2020-05-05"
"291","0-17","6","death_cumul_conf","2020-05-06"
"292","18-44","557","death_cumul_conf","2020-05-06"
"293","45-64","3119","death_cumul_conf","2020-05-06"
"294","65-74","3458","death_cumul_conf","2020-05-06"
"295","75+","6797","death_cumul_conf","2020-05-06"
"296","0-17","6","death_cumul_conf","2020-05-07"
"297","18-44","566","death_cumul_conf","2020-05-07"
"298","45-64","3170","death_cumul_conf","2020-05-07"
"299","65-74","3511","death_cumul_conf","2020-05-07"
"300","75+","6907","death_cumul_conf","2020-05-07"
"301","0-17","6","death_cumul_conf","2020-05-08"
"302","18-44","575","death_cumul_conf","2020-05-08"
"303","45-64","3219","death_cumul_conf","2020-05-08"
"304","65-74","3581","death_cumul_conf","2020-05-08"
"305","75+","7006","death_cumul_conf","2020-05-08"
"306","0-17","7","death_cumul_conf","2020-05-09"
"307","18-44","577","death_cumul_conf","2020-05-09"
"308","45-64","3242","death_cumul_conf","2020-05-09"
"309","65-74","3603","death_cumul_conf","2020-05-09"
"310","75+","7051","death_cumul_conf","2020-05-09"
"311","0-17","8","death_cumul_conf","2020-05-10"
"312","18-44","583","death_cumul_conf","2020-05-10"
"313","45-64","3316","death_cumul_conf","2020-05-10"
"314","65-74","3664","death_cumul_conf","2020-05-10"
"315","75+","7180","death_cumul_conf","2020-05-10"
"316","0-17","10","death_cumul_conf","2020-05-11"
"317","18-44","587","death_cumul_conf","2020-05-11"
"318","45-64","3348","death_cumul_conf","2020-05-11"
"319","65-74","3708","death_cumul_conf","2020-05-11"
"320","75+","7273","death_cumul_conf","2020-05-11"
"321","0-17","10","death_cumul_conf","2020-05-12"
"322","18-44","596","death_cumul_conf","2020-05-12"
"323","45-64","3383","death_cumul_conf","2020-05-12"
"324","65-74","3753","death_cumul_conf","2020-05-12"
"325","75+","7356","death_cumul_conf","2020-05-12"
"326","0-17","9","death_cumul_conf","2020-05-13"
"327","18-44","601","death_cumul_conf","2020-05-13"
"328","45-64","3413","death_cumul_conf","2020-05-13"
"329","65-74","3788","death_cumul_conf","2020-05-13"
"330","75+","7419","death_cumul_conf","2020-05-13"
"331","0-17","8","death_cumul_conf","2020-05-14"
"332","18-44","609","death_cumul_conf","2020-05-14"
"333","45-64","3438","death_cumul_conf","2020-05-14"
"334","65-74","3816","death_cumul_conf","2020-05-14"
"335","75+","7475","death_cumul_conf","2020-05-14"
"336","0-17","8","death_cumul_conf","2020-05-15"
"337","18-44","610","death_cumul_conf","2020-05-15"
"338","45-64","3449","death_cumul_conf","2020-05-15"
"339","65-74","3841","death_cumul_conf","2020-05-15"
"340","75+","7511","death_cumul_conf","2020-05-15"
"341","0-17","8","death_cumul_conf","2020-05-16"
"342","18-44","620","death_cumul_conf","2020-05-16"
"343","45-64","3526","death_cumul_conf","2020-05-16"
"344","65-74","3921","death_cumul_conf","2020-05-16"
"345","75+","7678","death_cumul_conf","2020-05-16"
"346","0-17","10","death_cumul_conf","2020-05-17"
"347","18-44","625","death_cumul_conf","2020-05-17"
"348","45-64","3556","death_cumul_conf","2020-05-17"
